location,asset_type,profile_url,nap_matches_gbp,in_sameas,in_id_page,notes
Winchester,Google Business Profile,,,,,Primary map profile - required
Winchester,BBB,https://www.bbb.org/us/va/winchester/profile/plumber/powells-plumbing-0241-15139,,,,Known live
Winchester,Facebook,,,,,
Winchester,Instagram,,,,,
Winchester,Yelp,,,,,
Winchester,Angi,,,,,
Winchester,Chamber of Commerce,,,,,
Winchester,YouTube,,,,,
Winchester,Nextdoor,,,,,
Norfolk,Google Business Profile,,,,,Primary map profile - required
Norfolk,BBB,,,,,
Norfolk,Facebook,,,,,
Norfolk,Yelp,,,,,
Norfolk,Angi,,,,,
Norfolk,Chamber of Commerce,,,,,
Wilmington,Google Business Profile,,,,,Primary map profile - required
Wilmington,BBB,,,,,
Wilmington,Facebook,,,,,
Wilmington,Yelp,,,,,
Wilmington,Angi,,,,,
Wilmington,Chamber of Commerce,,,,,
